"key","rule","severity","type","status","resolution","message","component","line","creationDate"
"AZ0Y-The4T-oZG714it7","typescript:S7735","MINOR","CODE_SMELL","CLOSED","FIXED","Unexpected negated condition.","salahmostava-sys_muhimmat:src/components/attendance/DailyAttendance.tsx",,"2026-03-18T03:22:39+0000"
"AZ0Y-TXA4T-oZG714ine","typescript:S3358","MAJOR","CODE_SMELL","CLOSED","FIXED","Extract this nested ternary operation into an independent statement.","salahmostava-sys_muhimmat:src/pages/Motorcycles.tsx",,"2026-03-18T02:23:54+0000"
"AZ0Y-TXA4T-oZG714inV","typescript:S6853","MAJOR","CODE_SMELL","CLOSED","FIXED","A form label must be associated with a control.","salahmostava-sys_muhimmat:src/pages/Motorcycles.tsx",,"2026-03-18T02:23:01+0000"
"AZ0Y-TmS4T-oZG714ive","typescript:S4325","MINOR","CODE_SMELL","CLOSED","FIXED","This assertion is unnecessary since the receiver accepts the original type of the expression.","salahmostava-sys_muhimmat:backend/supabase/functions/admin-update-user/index.ts",,"2026-03-18T02:15:37+0000"
"AZ0Y-TmS4T-oZG714ivf","typescript:S4325","MINOR","CODE_SMELL","CLOSED","FIXED","This assertion is unnecessary since the receiver accepts the original type of the expression.","salahmostava-sys_muhimmat:backend/supabase/functions/admin-update-user/index.ts",,"2026-03-18T02:15:37+0000"
"AZ0Y-TmS4T-oZG714ivg","typescript:S4325","MINOR","CODE_SMELL","CLOSED","FIXED","This assertion is unnecessary since the receiver accepts the original type of the expression.","salahmostava-sys_muhimmat:backend/supabase/functions/admin-update-user/index.ts",,"2026-03-18T02:15:37+0000"
"AZ0Y-TmS4T-oZG714ivh","typescript:S4325","MINOR","CODE_SMELL","CLOSED","FIXED","This assertion is unnecessary since the receiver accepts the original type of the expression.","salahmostava-sys_muhimmat:backend/supabase/functions/admin-update-user/index.ts",,"2026-03-18T02:15:37+0000"
"AZ0Y-Tcr4T-oZG714irI","typescript:S6853","MAJOR","CODE_SMELL","RESOLVED","FIXED","A form label must be associated with a control.","salahmostava-sys_muhimmat:frontend/src/pages/Login.tsx","105","2026-03-18T02:05:21+0000"
"AZ0Y-Tcr4T-oZG714irJ","typescript:S6853","MAJOR","CODE_SMELL","RESOLVED","FIXED","A form label must be associated with a control.","salahmostava-sys_muhimmat:frontend/src/pages/Login.tsx","124","2026-03-18T02:05:21+0000"
"AZ0Y-TdK4T-oZG714irb","typescript:S7744","MINOR","CODE_SMELL","REOPENED",,"The empty object is useless.","salahmostava-sys_muhimmat:frontend/src/pages/Employees.tsx","364","2026-03-18T01:59:32+0000"
"AZ0Y-TdK4T-oZG714ird","typescript:S3358","MAJOR","CODE_SMELL","CLOSED","FIXED","Extract this nested ternary operation into an independent statement.","salahmostava-sys_muhimmat:src/pages/Employees.tsx",,"2026-03-18T01:59:32+0000"
"AZ0Y-TXA4T-oZG714inJ","typescript:S6853","MAJOR","CODE_SMELL","CLOSED","FIXED","A form label must be associated with a control.","salahmostava-sys_muhimmat:src/pages/Motorcycles.tsx",,"2026-03-18T01:54:30+0000"
"AZ0Y-TXA4T-oZG714inK","typescript:S6853","MAJOR","CODE_SMELL","CLOSED","FIXED","A form label must be associated with a control.","salahmostava-sys_muhimmat:src/pages/Motorcycles.tsx",,"2026-03-18T01:54:30+0000"
"AZ0Y-TXA4T-oZG714inQ","typescript:S6853","MAJOR","CODE_SMELL","CLOSED","FIXED","A form label must be associated with a control.","salahmostava-sys_muhimmat:src/pages/Motorcycles.tsx",,"2026-03-18T01:54:30+0000"
"AZ0Y-TXA4T-oZG714inR","typescript:S6853","MAJOR","CODE_SMELL","CLOSED","FIXED","A form label must be associated with a control.","salahmostava-sys_muhimmat:src/pages/Motorcycles.tsx",,"2026-03-18T01:54:30+0000"
"AZ0Y-TjP4T-oZG714ium","typescript:S1128","MINOR","CODE_SMELL","REOPENED",,"Remove this unused import of 'Settings'.","salahmostava-sys_muhimmat:frontend/src/components/AppSidebar.tsx","6","2026-03-18T01:52:20+0000"
"AZ0Y-TjP4T-oZG714iun","typescript:S1128","MINOR","CODE_SMELL","REOPENED",,"Remove this unused import of 'Activity'.","salahmostava-sys_muhimmat:frontend/src/components/AppSidebar.tsx","6","2026-03-18T01:52:20+0000"
"AZ0Y-TYD4T-oZG714inr","typescript:S1128","MINOR","CODE_SMELL","REOPENED",,"Remove this unused import of 'Button'.","salahmostava-sys_muhimmat:frontend/src/pages/Dashboard.tsx","24","2026-03-18T01:51:41+0000"
"AZ0Y-TYD4T-oZG714ins","typescript:S1128","MINOR","CODE_SMELL","REOPENED",,"Remove this unused import of 'XLSX'.","salahmostava-sys_muhimmat:frontend/src/pages/Dashboard.tsx","25","2026-03-18T01:51:41+0000"
"AZ0Y-TYD4T-oZG714in1","typescript:S4325","MINOR","CODE_SMELL","REOPENED",,"This assertion is unnecessary since it does not change the type of the expression.","salahmostava-sys_muhimmat:frontend/src/pages/Dashboard.tsx","512","2026-03-18T01:51:41+0000"
